Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2022,San Joaquin,CA,Passenger,1,0,1,91,92,1.09
October 31 2020,Hillsborough,FL,Passenger,0,1,1,180,181,0.55
January 31 2022,District of Columbia,DC,Passenger,4,0,4,176,180,2.22
January 31 2021,Santa Clara,CA,Passenger,8,2,10,288,298,3.36
May 31 2022,Asotin,WA,Passenger,23,19,42,12696,12738,0.33
May 31 2017,Essex,NJ,Passenger,1,0,1,17,18,5.56
October 31 2020,Palm Beach,FL,Passenger,1,2,3,80,83,3.61
September 30 2021,Currituck,NC,Passenger,1,0,1,23,24,4.17
October 31 2022,Marion,OR,Passenger,1,0,1,90,91,1.10
December 31 2022,Hennepin,MN,Passenger,1,0,1,50,51,1.96
August 31 2021,Wichita,TX,Passenger,1,0,1,43,44,2.27
May 31 2021,Franklin,OH,Passenger,1,0,1,73,74,1.35
April 30 2024,Shelby,AL,Passenger,2,0,2,3,5,40.00
December 31 2021,Asotin,WA,Passenger,22,17,39,12691,12730,0.31
July 31 2020,Prince William,VA,Passenger,2,4,6,224,230,2.61
March 31 2020,Riverside,CA,Passenger,3,1,4,661,665,0.60
July 31 2017,Nueces,TX,Passenger,0,1,1,94,95,1.05
April 30 2022,Columbia,WA,Truck,0,0,0,1587,1587,0.00
April 30 2017,San Juan,WA,Passenger,98,35,133,13478,13611,0.98
April 30 2018,Essex,NJ,Passenger,1,0,1,13,14,7.14
October 31 2021,Portsmouth,VA,Passenger,0,1,1,76,77,1.30
August 31 2018,Carroll,NH,Passenger,0,1,1,1,2,50.00
February 28 2023,Hennepin,MN,Passenger,1,0,1,46,47,2.13
August 31 2019,Alexandria,VA,Passenger,1,0,1,146,147,0.68
March 31 2019,Boulder,CO,Passenger,1,0,1,49,50,2.00
October 31 2017,Morris,NJ,Passenger,1,0,1,21,22,4.55
November 30 2023,Doña Ana,NM,Passenger,1,0,1,15,16,6.25
October 31 2023,St. Louis,MN,Passenger,0,1,1,4,5,20.00
November 30 2023,Ray,MO,Passenger,0,1,1,0,1,100.00
May 31 2024,Douglas,WA,Truck,14,0,14,12999,13013,0.11
October 31 2021,Harnett,NC,Passenger,1,1,2,168,170,1.18
March 31 2023,Grant,WA,Passenger,255,113,368,66869,67237,0.55
December 31 2019,DeKalb,GA,Passenger,1,0,1,86,87,1.15
January 31 2017,Utah,UT,Passenger,0,1,1,203,204,0.49
August 31 2024,Chesapeake,VA,Passenger,2,0,2,232,234,0.85
February 28 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
September 30 2022,Santa Cruz,CA,Passenger,1,0,1,24,25,4.00
July 31 2021,Denver,CO,Passenger,1,0,1,123,124,0.81
August 31 2021,Sacramento,CA,Passenger,2,1,3,250,253,1.19
November 30 2022,Maui,HI,Passenger,1,0,1,25,26,3.85
February 28 2019,Monroe,IL,Passenger,1,0,1,3,4,25.00
October 31 2022,Chelan,WA,Truck,8,0,8,23055,23063,0.03
December 31 2018,DeKalb,GA,Passenger,1,0,1,81,82,1.22
October 31 2022,Grays Harbor,WA,Truck,2,0,2,21066,21068,0.01
October 31 2022,Montgomery,PA,Passenger,1,0,1,24,25,4.00
May 31 2018,El Paso,CO,Passenger,2,2,4,759,763,0.52
August 31 2023,Norfolk,VA,Passenger,1,2,3,272,275,1.09
May 31 2022,Montgomery,MD,Passenger,4,2,6,219,225,2.67
March 31 2023,Arlington,VA,Passenger,1,0,1,125,126,0.79
April 30 2024,Orange,CA,Passenger,6,2,8,272,280,2.86
April 30 2017,Douglas,OR,Passenger,0,1,1,75,76,1.32
June 30 2021,Sacramento,CA,Passenger,2,1,3,251,254,1.18
March 31 2021,Montgomery,AL,Passenger,1,0,1,40,41,2.44
January 31 2019,Cowlitz,WA,Passenger,79,96,175,72543,72718,0.24
May 31 2018,Norfolk,VA,Passenger,1,2,3,326,329,0.91
March 31 2020,Lewis,WA,Passenger,105,110,215,59192,59407,0.36
February 29 2024,Snohomish,WA,Truck,307,0,307,120139,120446,0.25
September 30 2018,Skamania,WA,Truck,0,0,0,3970,3970,0.00
December 31 2020,Douglas,NE,Passenger,0,1,1,58,59,1.69
September 30 2021,Leavenworth,KS,Passenger,0,1,1,109,110,0.91
July 31 2020,Cascade,MT,Passenger,0,1,1,60,61,1.64
February 28 2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.00
October 31 2018,Riverside,CA,Passenger,2,2,4,694,698,0.57
July 31 2018,Lewis,WA,Passenger,83,61,144,57816,57960,0.25
December 31 2022,Columbia,WA,Passenger,7,1,8,2434,2442,0.33
March 31 2022,Walla Walla,WA,Truck,0,0,0,14024,14024,0.00
April 30 2018,Fairfax,VA,Passenger,3,1,4,826,830,0.48
February 29 2020,Skagit,WA,Truck,1,0,1,32553,32554,0.00
June 30 2023,Maricopa,AZ,Passenger,17,6,23,804,827,2.78
March 31 2017,Cobb,GA,Passenger,0,1,1,81,82,1.22
February 29 2024,Arapahoe,CO,Passenger,2,1,3,64,67,4.48
April 30 2018,Kent,MI,Passenger,0,1,1,34,35,2.86
December 31 2023,Sacramento,CA,Truck,1,0,1,30,31,3.23
August 31 2021,Moore,NC,Passenger,0,1,1,122,123,0.81
August 31 2024,Sarasota,FL,Passenger,1,0,1,15,16,6.25
July 31 2024,Stevens,WA,Truck,6,0,6,18407,18413,0.03
December 31 2020,Dallas,TX,Passenger,1,0,1,190,191,0.52
June 30 2021,Fairbanks North Star,AK,Passenger,0,1,1,92,93,1.08
August 31 2023,Douglas,WA,Truck,7,0,7,13063,13070,0.05
February 28 2022,Benton,WA,Passenger,662,450,1112,135682,136794,0.81
April 30 2021,Prince William,VA,Passenger,1,2,3,219,222,1.35
February 28 2018,Latah,ID,Passenger,0,1,1,80,81,1.23
July 31 2024,Santa Barbara,CA,Passenger,1,0,1,52,53,1.89
April 30 2018,Volusia,FL,Passenger,0,1,1,35,36,2.78
March 31 2024,Otero,NM,Passenger,0,1,1,24,25,4.00
September 30 2018,Multnomah,OR,Passenger,3,4,7,791,798,0.88
March 31 2023,Kittitas,WA,Truck,7,0,7,14554,14561,0.05
October 31 2020,Franklin,WA,Truck,0,0,0,20365,20365,0.00
February 28 2018,Spokane,WA,Passenger,306,263,569,300445,301014,0.19
February 28 2019,Maricopa,AZ,Passenger,5,3,8,1641,1649,0.49
June 30 2021,Wahkiakum,WA,Truck,0,0,0,1795,1795,0.00
October 31 2021,Kittitas,WA,Passenger,192,72,264,29832,30096,0.88
May 31 2019,Loudoun,VA,Passenger,1,0,1,98,99,1.01
March 31 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
February 28 2018,Lake,CA,Passenger,0,1,1,9,10,10.00
January 31 2018,Queens,NY,Passenger,1,0,1,63,64,1.56
September 30 2017,Kitsap,WA,Passenger,654,346,1000,174287,175287,0.57
February 28 2023,Ferry,WA,Passenger,21,4,25,4340,4365,0.57
October 31 2019,Grant,WA,Passenger,55,64,119,65364,65483,0.18
March 31 2024,Santa Cruz,CA,Passenger,1,0,1,17,18,5.56
January 31 2020,Hudson,NJ,Passenger,1,0,1,40,41,2.44
March 31 2020,Saginaw,MI,Passenger,1,0,1,11,12,8.33
April 30 2024,Caddo,LA,Passenger,2,0,2,11,13,15.38
April 30 2024,Pierce,WA,Passenger,10589,3445,14034,521501,535535,2.62
January 31 2022,Pacific,WA,Passenger,55,63,118,16036,16154,0.73
December 31 2023,Lincoln,WA,Passenger,22,25,47,7614,7661,0.61
May 31 2022,Douglas,CO,Passenger,0,1,1,85,86,1.16
October 31 2019,Riverside,CA,Passenger,4,1,5,663,668,0.75
November 30 2018,New Haven,CT,Passenger,0,1,1,47,48,2.08
September 30 2020,Collin,TX,Passenger,2,1,3,135,138,2.17
January 31 2023,San Bernardino,CA,Passenger,3,1,4,335,339,1.18
March 31 2024,Burlington,NJ,Passenger,0,2,2,71,73,2.74
April 30 2017,Nueces,TX,Passenger,0,1,1,97,98,1.02
September 30 2022,Philadelphia,PA,Passenger,1,0,1,52,53,1.89
April 30 2018,Mercer,NJ,Passenger,0,1,1,18,19,5.26
September 30 2022,Kootenai,ID,Passenger,0,1,1,161,162,0.62
October 31 2017,Franklin,WA,Truck,0,0,0,18319,18319,0.00
December 31 2018,Washoe,NV,Passenger,2,0,2,115,117,1.71
January 31 2021,Mason,WA,Truck,0,0,0,21010,21010,0.00
July 31 2018,Collin,TX,Passenger,1,0,1,173,174,0.57
September 30 2017,Clark,WA,Passenger,810,542,1352,301357,302709,0.45
November 30 2019,Skamania,WA,Passenger,26,20,46,8779,8825,0.52
February 28 2021,Anne Arundel,MD,Passenger,2,1,3,393,396,0.76
September 30 2023,Skamania,WA,Passenger,121,55,176,8037,8213,2.14
September 30 2020,Allegheny,PA,Passenger,2,0,2,81,83,2.41
June 30 2020,Clackamas,OR,Passenger,2,0,2,205,207,0.97
September 30 2019,Fairbanks North Star,AK,Passenger,0,1,1,99,100,1.00
March 31 2019,Wayne,MI,Passenger,0,1,1,70,71,1.41
May 31 2022,Ventura,CA,Passenger,1,3,4,261,265,1.51
January 31 2020,Grays Harbor,WA,Truck,0,0,0,20821,20821,0.00
January 31 2020,Palm Beach,FL,Passenger,0,2,2,88,90,2.22
May 31 2019,Lincoln,WA,Passenger,3,8,11,7769,7780,0.14
August 31 2018,Columbia,WA,Passenger,2,2,4,2414,2418,0.17
January 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
September 30 2022,Leavenworth,KS,Passenger,0,1,1,92,93,1.08
March 31 2020,Hillsborough,FL,Passenger,0,1,1,191,192,0.52
August 31 2019,Maui,HI,Passenger,2,0,2,45,47,4.26
July 31 2024,Wake,NC,Passenger,3,0,3,63,66,4.55
May 31 2024,Virginia Beach,VA,Truck,1,0,1,96,97,1.03
July 31 2017,Carroll,NH,Passenger,0,1,1,1,2,50.00
January 31 2021,Powhatan,VA,Passenger,1,0,1,2,3,33.33
June 30 2020,Santa Cruz,CA,Passenger,1,0,1,34,35,2.86
August 31 2023,Marion,IA,Passenger,1,0,1,0,1,100.00
November 30 2021,Kittitas,WA,Truck,0,0,0,14807,14807,0.00
June 30 2019,New Haven,CT,Passenger,0,2,2,47,49,4.08
April 30 2023,Walla Walla,WA,Passenger,213,114,327,35401,35728,0.92
January 31 2019,Multnomah,OR,Passenger,3,5,8,790,798,1.00
August 31 2019,Tarrant,TX,Passenger,3,0,3,207,210,1.43
March 31 2017,Okanogan,WA,Truck,0,0,0,16301,16301,0.00
August 31 2017,San Juan,WA,Passenger,113,39,152,13641,13793,1.10
December 31 2019,Fairbanks North Star,AK,Passenger,0,1,1,101,102,0.98
